id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1,42496,Manhattan,Midtown,40.770061,-73.973201,Entire home/apt,158.83,3,10,2021-12-15,1.12,1,120
2,71102,Bronx,Fordham,40.918809,-73.839362,Entire home/apt,69.37,30,34,2024-06-30,5.14,2,87
3,77792,Brooklyn,Bushwick,40.580505,-74.050371,Private room,112.15,1,27,2024-03-04,0.47,1,25
4,38577,Brooklyn,Park Slope,40.674341,-74.016964,Entire home/apt,120.05,30,6,2023-07-03,1.27,1,38
5,38928,Manhattan,Chelsea,40.796071,-73.970355,Private room,224.72,7,23,2023-07-16,0.72,1,309
6,96876,Manhattan,Lower East Side,40.786408,-73.985335,Entire home/apt,279.92,2,4,2024-06-24,0.82,1,149
7,33701,Manhattan,Chelsea,40.817928,-73.914348,Private room,149.02,1,10,2024-08-15,0.09,1,352
8,3676,Queens,Astoria,40.705913,-73.766657,Private room,64.41,7,5,2024-02-28,1.75,5,224
9,17864,Brooklyn,Williamsburg,40.684045,-73.959781,Entire home/apt,261.55,3,20,2023-03-23,0.33,1,354
10,60631,Brooklyn,Crown Heights,40.628276,-74.009298,Entire home/apt,262.63,14,19,2024-04-27,0.95,3,344
11,84389,Manhattan,Chelsea,40.760388,-73.963095,Entire home/apt,329.3,7,11,2024-05-14,0.85,1,98
12,77918,Bronx,Mott Haven,40.818816,-73.993715,Private room,68.19,14,19,2023-09-08,0.95,3,24
13,25187,Queens,Jamaica,40.763789,-73.797961,Private room,66.14,5,23,2024-05-25,0.71,2,109
14,75088,Manhattan,Upper East Side,40.810033,-73.963738,Private room,178.88,14,16,2024-02-09,0.42,1,100
15,60012,Manhattan,Tribeca,40.753527,-74.015794,Entire home/apt,251.59,3,59,2024-06-05,0.89,1,122
16,54315,Manhattan,Upper East Side,40.768711,-73.983702,Entire home/apt,288.26,2,40,2024-06-08,0.07,1,265
17,25996,Manhattan,Tribeca,40.801963,-73.971377,Entire home/apt,258.04,5,28,2024-07-26,0.42,1,207
18,74027,Brooklyn,Park Slope,40.746221,-74.02369,Entire home/apt,159.91,1,9,2024-08-16,2.3,1,108
19,85696,Brooklyn,Crown Heights,40.736116,-73.900941,Private room,72.87,2,15,2023-08-09,2.78,1,305
20,14343,Manhattan,Midtown,40.742735,-73.944748,Private room,173.62,5,11,2024-07-28,1.88,5,28
21,22261,Brooklyn,Bed-Stuy,40.683808,-73.920677,Private room,162.16,14,36,2024-08-21,1.5,1,313
22,38338,Manhattan,Lower East Side,40.765802,-73.945695,Entire home/apt,460.08,14,21,2024-03-28,2.5,1,259
23,4262,Manhattan,Harlem,40.759383,-73.954558,Shared room,49.0,3,9,2024-04-12,0.21,1,67
24,63587,Manhattan,Upper East Side,40.799512,-73.990683,Private room,241.17,5,10,2024-04-04,1.12,20,78
25,93445,Brooklyn,Crown Heights,40.797202,-73.930308,Shared room,47.55,30,7,2024-05-11,0.19,1,254
26,48308,Queens,Forest Hills,40.780511,-73.91707,Private room,91.56,5,7,2024-08-05,2.26,1,131
27,50631,Manhattan,Midtown,40.825455,-73.995691,Entire home/apt,200.43,14,49,2024-08-29,1.1,1,12
28,25820,Brooklyn,Bushwick,40.739693,-74.003886,Entire home/apt,203.22,14,13,2024-08-24,2.49,3,177
29,87698,Brooklyn,Greenpoint,40.641061,-73.896875,Private room,108.84,2,11,2023-04-04,2.41,2,52
30,49412,Manhattan,Upper East Side,40.803651,-73.996626,Entire home/apt,159.03,14,35,2024-04-18,0.94,1,55
31,57790,Brooklyn,Williamsburg,40.743628,-73.881501,Entire home/apt,244.89,5,21,2024-06-02,1.03,1,325
32,81251,Manhattan,Tribeca,40.764341,-73.939227,Private room,246.7,7,19,2024-05-29,0.04,1,324
33,74293,Manhattan,Upper East Side,40.753963,-73.983695,Private room,134.28,14,34,2024-02-24,1.11,2,54
34,59569,Bronx,South Bronx,40.86875,-73.907478,Private room,93.73,2,5,2024-06-08,1.7,2,288
35,62382,Bronx,Riverdale,40.857991,-73.852746,Entire home/apt,100.85,7,7,2023-11-20,0.4,1,68
36,20442,Queens,Long Island City,40.713234,-73.728308,Entire home/apt,202.28,5,0,,0.0,1,239
37,48357,Manhattan,Chelsea,40.778533,-73.966569,Private room,59.29,14,14,2024-07-09,5.52,1,57
38,47714,Manhattan,Harlem,40.806029,-73.955386,Shared room,213.14,30,4,2024-06-11,0.5,1,291
39,26689,Brooklyn,Park Slope,40.725361,-74.013151,Private room,174.61,7,1,2023-04-29,1.87,1,268
40,77195,Brooklyn,Williamsburg,40.709688,-73.99691,Shared room,48.19,30,13,2024-07-09,0.05,1,347
41,35547,Manhattan,Lower East Side,40.757472,-73.972634,Private room,65.43,3,35,2024-02-19,1.64,1,134
42,1638,Brooklyn,Bed-Stuy,40.623942,-73.896763,Private room,107.72,14,17,2024-06-12,1.47,5,56
43,34208,Manhattan,Tribeca,40.799391,-74.009253,Entire home/apt,161.64,3,15,2024-05-10,2.59,1,136
44,19075,Bronx,Fordham,40.803385,-73.937789,Private room,64.99,5,8,2024-08-24,0.54,1,281
